author_first,city_code_max,city_code_min,city_code1
李楠,3100.0,1100.0,True
李毅,3100.0,3100.0,False
李永友,3301.0,3201.0,True
李汉军,1100.0,1100.0,False
李江一,5101.0,5101.0,False
李江帆,4401.0,4401.0,False
李治国,3100.0,3100.0,False
李泉,3100.0,3100.0,False
李波,3401.0,3401.0,False
李泳,1100.0,1100.0,False
李泽广,1200.0,1200.0,False
李洁明,3100.0,3100.0,False
李洪亚,3302.0,3302.0,False
李浩,3302.0,3302.0,False
李海伟,1200.0,1200.0,False
李海明,5000.0,5000.0,False
李海洪,1100.0,1100.0,False
李海涛,5101.0,5101.0,False
李海舰,1100.0,1100.0,False
李海英,1200.0,1200.0,False
李涛,5000.0,1100.0,True
李润平,1100.0,1100.0,False
李淑锦,3301.0,3301.0,False
李炳念,1200.0,1200.0,False
李焰,1100.0,1100.0,False
李燕凌,4301.0,4301.0,False
李燕平,1100.0,1100.0,False
李猛,3100.0,1100.0,True
李玉梅,1100.0,1100.0,False
李玉红,1100.0,1100.0,False
李珍,4201.0,4201.0,False
李琦,1100.0,1100.0,False
李琳,1100.0,1100.0,False
李琴,4401.0,4401.0,False
李瑞林,5301.0,5301.0,False
李真,3100.0,3100.0,False
李磊,1200.0,1200.0,False
李秀芳,1200.0,1200.0,False
李科,3100.0,3100.0,False
李稻葵,1100.0,1100.0,False
李红,3601.0,3601.0,False
李红侠,4403.0,4403.0,False
李红权,4301.0,4301.0,False
李红阳,1200.0,1200.0,False
李红霞,5000.0,5000.0,False
李绍光,1100.0,1100.0,False
李绍荣,1100.0,1100.0,False
李继尊,1100.0,1100.0,False
李维安,1200.0,1200.0,False
李罗力,4403.0,4403.0,False
李育,1100.0,1100.0,False
李胜华,1100.0,1100.0,False
李胜文,4401.0,4401.0,False
李胜旗,1100.0,1100.0,False
李自杰,1100.0,1100.0,False
李舜蛟,6201.0,6201.0,False
李良,3100.0,3100.0,False
李良松,1100.0,1100.0,False
李芝倩,3201.0,3201.0,False
李苍舒,1100.0,1100.0,False
李英民,1100.0,1100.0,False
李莉,1200.0,1200.0,False
李蕾,1100.0,1100.0,False
李虹,3100.0,1100.0,True
李计广,1100.0,1100.0,False
李谷成,4201.0,4201.0,False
李超,5101.0,1100.0,True
李辉,1100.0,1100.0,False
李达,1100.0,1100.0,False
李远勤,3100.0,3100.0,False
李远鹏,3100.0,3100.0,False
李连发,1100.0,1100.0,False
李逸飞,1100.0,1100.0,False
李郇,4401.0,4401.0,False
李金勇,3100.0,3100.0,False
李金华,1100.0,1100.0,False
李金波,1100.0,1100.0,False
