,author_first,unit_city_code,unitnum,unitdiff
26728,梁旭,6401.0,3,宁夏气象防灾减灾重点实验室;宁夏气象局;宁夏气象台;
26729,梁昆,4501.0,2,南宁市师范学校;南宁职业技术学院;
26730,梁昊,1100.0,2,中国人民大学;国务院;
26731,梁昊光,1100.0,3,北京市社会科学院;北京第二外国语学院;中国传媒大学;
26732,梁明,1100.0,4,中国人民大学;中国传媒大学;北京电影学院;商务部;
26733,梁明,4401.0,2,广东省基督教协会;广东交通职业技术学院;
26734,梁昭,1100.0,2,北京第二外国语学院;教育部;
26735,梁晓君,1100.0,2,外交学院;北京大学;
26736,梁晓鹏,3702.0,2,青岛科技大学;中国海洋大学;
26737,梁晨,1100.0,4,中国社会科学院;清华大学;北京市众天中瑞律师事务所;北京物资学院;
26738,梁晶,1100.0,2,中央电教馆;中国传媒大学;
26739,梁晶,2102.0,3,大连海事大学;大连交通大学;大连理工大学;
26740,梁晶,3201.0,2,南京理工大学;南京大学;
26741,梁晶,3301.0,2,浙江大学;中国计量大学;
26742,梁智,1200.0,2,南开大学;天津财经大学;
26743,梁朝晖,1200.0,2,天津工业大学;天津大学;
26744,梁枫,3100.0,2,上海交通大学;中国浦东干部学院;
26745,梁柱,4201.0,3,武汉大学;湖北省文物考古研究所;湖北省文物考占研究所;
26746,梁柱,4401.0,2,中山大学;广发证券;
26747,梁栋,1100.0,2,北京交通大学;中国农业大学;
26748,梁栋,3201.0,3,南京信息工程大学;河海大学;南京师范大学;
26749,梁桂莲,4201.0,2,华中师范大学;中南民族大学;
26750,梁梅,1100.0,3,中国社会科学院;中国美术家协会;中国艺术研究院;
26751,梁梅,4501.0,2,广西师院招生就业处;广西师范学院;
26752,梁欣,1100.0,2,国家法官学院;中国南方电网;
26753,梁欣,2301.0,2,哈尔滨师范大学;黑龙江农垦师范专科学校;
26754,梁正海,5206.0,2,铜仁学院;贵州省高校人文社科基地铜仁学院;
26755,梁毅,4503.0,2,桂林边防检查站;广西师范大学;
26756,梁永贤,3701.0,2,济南社会科学院;济南市社会科学院;
26757,梁永霞,1100.0,2,清华大学;中国科学院;
26758,梁江,1100.0,5,北京大学;清华大学;中国美术馆;中国艺术研究院;中国美协;
26759,梁波,1100.0,2,中国科学院;中央党校;
26760,梁波,4501.0,2,广西路桥集团;广西大学;
26761,梁洁,1100.0,5,中国人民银行;北京工业大学;中国传媒大学;国家行政学院;北京师范大学;
26762,梁洁,3100.0,3,同济大学;上海同济城市规划设计研究院;上海外国语大学;
26763,梁洁,3201.0,2,河海大学;东南大学;
26764,梁洁,5101.0,3,西南石油大学;四川大学;西南交通大学;
26765,梁洁,6101.0,2,西北大学;西安政治学院;
26766,梁浩,1100.0,4,中国农业大学;中国人民大学;住房和城乡建设部;信息产业部;
26767,梁海燕,1100.0,3,北京大学;中国人民大学;北京建筑大学;
26768,梁海燕,3100.0,2,华东理工大学;上海建桥学院;
26769,梁涛,1100.0,5,中国保监会;中国人民大学;中国科学院;中国社会科学院;国际关系学院;
26770,梁涛,1401.0,2,山西财经大学;山西省青少年研究所;
26771,梁涛,4201.0,2,武汉大学;华中科技大学;
26772,梁涛,6501.0,2,新疆师范大学;新疆文物古迹保护中心;
26773,梁滨,4201.0,2,湖北经济学院;华中师范大学;
26774,梁潇,5000.0,2,重庆市委党校;西南政法大学;
26775,梁燕,1100.0,7,北京邮电大学;中国人民大学;北京市东直门中学;北京服装学院;北京外国语大学;中国戏曲学院;北京联合大学;
26776,梁燕,3100.0,2,上海财经大学;复旦大学;
26777,梁爱华,1100.0,2,北京航空航天大学;首都师范大学;
26778,梁爽,1100.0,4,中国科学院;北京大学;中国人民大学;住房和城乡建设部;
26779,梁爽,2102.0,2,东北财经大学;辽宁对外经贸学院;
26780,梁爽,3100.0,3,华东师范大学;华东政法大学;上海交通大学;
26781,梁玉兰,1100.0,2,化学工业出版社;教育部;
26782,梁玉萍,1100.0,2,中国人事科学研究院;人力资源和社会保障部;
26783,梁玉霞,4401.0,2,暨南大学;广东省人民检察院;
26784,梁玥,3100.0,2,上海政法学院;华东师范大学;
26785,梁玲,3100.0,2,上海财经大学;复旦大学;
26786,梁珊珊,1100.0,2,北京理工大学;中国人民银行;
26787,梁琦,1100.0,2,中国科普研究所;工商银行;
26788,梁琳,2201.0,3,东北师范大学;吉林大学;长春工业大学;
26789,梁琳,6201.0,2,西北师范大学;兰州大学;
26790,梁瑞,1100.0,3,中国科学院;北京联合大学;中国防卫科技学院;
26791,梁瑞华,4113.0,2,南阳市委党校;南阳师范学院;
26792,梁田,1100.0,2,中国科学院;中国青年政治学院;
26793,梁碧波,4401.0,4,广东财经大学;广东省纺织品进出口(集团;华南师范大学;华南农业大学;
26794,梁磊,1100.0,2,北京联合大学;首都师范大学;
26795,梁磊,3201.0,3,南京财经大学;南京信息工程大学;南京大学;
26796,梁祺,3602.0,2,景德镇陶瓷大学;江西省景德镇陶瓷大学;
26797,梁立启,4408.0,2,岭南师范学院;广东海洋大学;
26798,梁竹,5101.0,2,成都体育学院;西南民族大学;
26799,梁红,1100.0,2,中央电视台;北京回龙观医院;
26800,梁红,2301.0,3,哈尔滨学院;东北林业大学;哈尔滨工程大学;
26801,梁红,3610.0,2,抚州市钟岭工业园管委会;抚州市工业开发区管理委员会;
26802,梁红,4401.0,2,仲恺农业工程学院;广东省作家协会;
26803,梁继红,1100.0,3,中国人民大学;中央人民广播电台;北京大学;
26804,梁继红,6206.0,2,武威市文物考古研究所;武威市博物馆;
26805,梁胜利,1100.0,2,北京大学;公安厅党委;
26806,梁艳,1100.0,3,中央民族大学;中国传媒大学;中央电视台;
26807,梁艳,3100.0,2,华东师范大学;上海交通大学;
26808,梁艳,5101.0,3,西南财经大学;西南民族大学;四川大学;
26809,梁艳玲,1100.0,2,北京理工大学;中国社会科学院;
26810,梁艳萍,4201.0,2,湖北大学;华中师范大学;
26811,梁艺,4501.0,2,广西教育学院;广西期刊传媒集团;
26812,梁芳,1100.0,4,国家科技图书文献中心;中国华力控股集团;中央民族大学;中国质检出版社;
26813,梁芸,1100.0,2,高等教育出版社;中国人民大学;
26814,梁苑,3100.0,2,上海立信会计金融学院;复旦大学;
26815,梁英,4401.0,2,广东广播电视大学;广州电视台;
26816,梁英,4503.0,3,桂林理工大学;广西师范大学;广西桂林理工大学;
26817,梁英,5101.0,3,西南民族大学;四川大学;成都理工大学;
