author_first,unit_city_code,ym,city_unitn,city_units,class_num,mag_classn,coauthor,author_first,unit_city_code,class_num_num,mag_classn_num
张兵,3201.0,2015-01-01;2010-11-01;2008-09-01;2003-01-01;2017-10-01;,2,南京农业大学;;南京大学;;,F;F;F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;, 李丹; 孟德峰; 范致镇; 李心丹; 封思贤; 李心丹; 汪慧建; 李晓明; 陈晓莹;,张兵,3201.0,1,1
张勇,1100.0,2009-05-01;2014-10-01;,2,中国人民大学;;北京大学;;,F;F;F;F;F;,经济与管理;经济与管理;, 王玺; 古明明; 李政军; 龚六堂;,张勇,1100.0,1,1
张勇,2102.0,2017-04-01;,1,东北财经大学;;,F;F;F;,经济与管理;,nan,张勇,2102.0,1,1
张勇,3201.0,2015-07-01;,1,南京师范大学;;,F;,经济与管理;,nan,张勇,3201.0,1,1
张勇,4401.0,2008-02-01;,1,华南师范大学;;,F;F;,经济与管理;,nan,张勇,4401.0,1,1
张卫国,5000.0,2015-08-01;2011-07-01;,2,西南大学;;重庆大学;;,F;F;F;F;F;F;,经济与管理;经济与管理;, 罗超平; 李海明; 梁小翠; 陆静;,张卫国,5000.0,1,1
张卫国,3701.0,2008-02-01;2011-08-01;,2,山东大学;;山东社会科学院;;,H;F;D;,经济与管理;经济与管理;,nan 任燕燕; 花小安;,张卫国,3701.0,3,1
张卫平,1100.0,2007-07-01;,1,北京大学;;,F;F;,经济与管理;,nan,张卫平,1100.0,1,1
张卫平,3100.0,2012-04-01;,1,复旦大学;;,F;F;,经济与管理;, 李天栋;,张卫平,3100.0,1,1
张同龙,1200.0,2008-01-01;,1,天津师范大学;;,F;,经济与管理;,nan,张同龙,1200.0,1,1
张同龙,4401.0,2017-01-01;,1,华南农业大学;;,D;,经济与管理;, 张林秀;,张同龙,4401.0,1,1
张宁,1100.0,2006-07-01;,1,清华大学;;,F;,经济与管理;, 胡鞍钢; 郑京海;,张宁,1100.0,1,1
张宁,4401.0,2005-06-01;,1,中山大学;;,F;F;,经济与管理;,nan,张宁,4401.0,1,1
张宇,1200.0,2014-04-01;2010-07-01;2013-06-01;,1,南开大学;;,F;F;F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;, 蒋殿春;,张宇,1200.0,1,1
张宇,1100.0,2017-05-01;2016-06-01;,1,中国人民大学;;,F;F;F;,经济与管理;经济与管理;,nan,张宇,1100.0,1,1
张峰,1200.0,2016-02-01;,1,南开大学;;,F;D;,经济与管理;, 黄玖立; 王睿;,张峰,1200.0,2,1
张峰,1100.0,2017-04-01;,1,中国特色社会主义经济建设协同创新中心;;,D;,经济与管理;, 黄玖立; 禹航;,张峰,1100.0,1,1
张平,1100.0,2016-08-01;2006-02-01;,1,中国社会科学院;;,F;F;,经济与管理;经济与管理;, 郭冠清;,张平,1100.0,1,1
张平,3100.0,2016-12-01;2012-01-01;,1,复旦大学;;,F;F;D;F;F;,经济与管理;经济与管理;, 侯一麟; 赵国昌; 罗知;,张平,3100.0,2,1
张庆君,1100.0,2013-06-01;,1,中国社会科学院;;,F;F;,经济与管理;, 何德旭;,张庆君,1100.0,1,1
张庆君,1200.0,2017-07-01;,1,天津财经大学;;,F;F;,经济与管理;, 刘靖;,张庆君,1200.0,1,1
张建军,1100.0,2001-09-01;,1,中国人民银行;;,F;,经济与管理;,nan,张建军,1100.0,1,1
张建军,4201.0,2017-03-01;,1,华中科技大学;;,D;,经济与管理;,nan,张建军,4201.0,1,1
张强,4301.0,2010-04-01;2005-09-01;2002-05-01;,1,湖南大学;;,F;F;F;,经济与管理;经济与管理;经济与管理;, 武次冰; 刘彦; 付强;,张强,4301.0,1,1
张强,5301.0,2015-10-01;,1,云南财经大学;;,F;,经济与管理;, 李颖异;,张强,5301.0,1,1
张强,1100.0,2011-04-01;2002-11-01;,2,中国人民大学;;中国人民银行;;,F;F;F;,经济与管理;经济与管理;, 卢荻; 刘西顺; 王伟;,张强,1100.0,1,1
张惠,3201.0,2010-12-01;,1,南京财经大学;;,F;,经济与管理;, 陆岷峰;,张惠,3201.0,1,1
张惠,4401.0,2015-06-01;,1,华南师范大学;;,D;,经济与管理;,nan,张惠,4401.0,1,1
张晏,1100.0,2004-07-01;,1,北京大学;;,F;,经济与管理;, 龚六堂;,张晏,1100.0,1,1
张晏,3100.0,2005-10-01;,1,复旦大学;;,F;F;,经济与管理;, 龚六堂;,张晏,3100.0,1,1
张杰,6101.0,2001-03-01;,1,西安交通大学;;,F;,经济与管理;,nan,张杰,6101.0,1,1
