author_first,author_unit_first,unit_city_code,ym,coauthor,class_num,mag_classn,class_num_num,mag_classn_num,author_first.1,unit_city_code.1,city_unitn,city_units
赵旭,上海对外经贸大学;,3100.0,2013-12-01;, 李浩;,F;,经济与管理;,1,1,,,1,上海对外经贸大学;
赵旭,南京财经大学;,3201.0,2007-12-01;2006-12-01;,,F;F;F;,经济与管理;经济与管理;,1,1,,,1,南京财经大学;
赵进文,东北财经大学;,2102.0,2013-04-01;2010-12-01;2007-08-01;2005-12-01;2005-02-01;2004-10-01;2004-07-01;2001-12-01;, 苏明政; 邢天才; 邢天才; 熊磊; 范继涛; 闵捷; 闵捷; 高辉; 邵国莉;,F;F;F;F;F;F;F;F;F;C;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;,2,1,,,1,东北财经大学;
赵进文,南开大学;,1200.0,2004-06-01;, 高辉;,F;,经济与管理;,1,1,,,1,南开大学;
逄锦聚,中国特色社会主义经济建设协同创新中心;,1100.0,2017-11-01;2016-10-01;,,D;F;F;,经济与管理;经济与管理;,2,1,,,1,中国特色社会主义经济建设协同创新中心;
逄锦聚,南开大学;,1200.0,2005-02-01;2004-02-01;2002-02-01;2001-10-01;,,F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;,1,1,,,1,南开大学;
邓伟,北京大学;,1100.0,2009-10-01;,,F;,经济与管理;,1,1,,,1,北京大学;
邓伟,华中科技大学;,4201.0,2013-01-01;, 唐齐鸣;,F;F;,经济与管理;,1,1,,,1,华中科技大学;
邓伟,南京财经大学;,3201.0,2012-06-01;, 叶林祥;,F;F;F;,经济与管理;,1,1,,,1,南京财经大学;
邵帅,哈尔滨工业大学;,2301.0,2008-04-01;, 齐中英;,F;F;F;,经济与管理;,1,1,,,1,哈尔滨工业大学;
